Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cefazolin_interpretation_2,microbiology,,dropdown,CEFAZOLIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
cefoxitin_mic_2,microbiology,,text,CEFOXITIN MIC 2,,,,,,,,,,,,,
cefoxitin_interpretation_raw_2,microbiology,,dropdown,CEFOXITIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
cefoxitin_interpretation_2,microbiology,,dropdown,CEFOXITIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ceftazidime_mic_2,microbiology,,text,CEFTAZIDIME MIC 2,,,,,,,,,,,,,
ceftazidime_interpretation_raw_2,microbiology,,dropdown,CEFTAZIDIME INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ceftazidime_interpretation_2,microbiology,,dropdown,CEFTAZIDIME INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ceftriaxone_mic_2,microbiology,,text,CEFTRIAXONE MIC 2,,,,,,,,,,,,,
ceftriaxone_interpretation_raw_2,microbiology,,dropdown,CEFTRIAXONE INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ceftriaxone_interpretation_2,microbiology,,dropdown,CEFTRIAXONE INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
cefepime_mic_2,microbiology,,text,CEFEPIME MIC 2,,,,,,,,,,,,,
cefepime_interpretation_raw_2,microbiology,,dropdown,CEFEPIME INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
cefepime_interpretation_2,microbiology,,dropdown,CEFEPIME INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
meropenem_mic_2,microbiology,,text,MEROPENEM MIC 2,,,,,,,,,,,,,
meropenem_interpretation_raw_2,microbiology,,dropdown,MEROPENEM INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
meropenem_interpretation_2,microbiology,,dropdown,MEROPENEM INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
amikacin_mic_2,microbiology,,text,AMIKACIN MIC 2,,,,,,,,,,,,,
amikacin_interpretation_raw_2,microbiology,,dropdown,AMIKACIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
amikacin_interpretation_2,microbiology,,dropdown,AMIKACIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
gentamicin_mic_2,microbiology,,text,GENTAMICIN MIC 2,,,,,,,,,,,,,
gentamicin_interpretation_raw_2,microbiology,,dropdown,GENTAMICIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
gentamicin_interpretation_2,microbiology,,dropdown,GENTAMICIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
tobramycin_mic_2,microbiology,,text,TOBRAMYCIN MIC 2,,,,,,,,,,,,,
tobramycin_interpretation_raw_2,microbiology,,dropdown,TOBRAMYCIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
tobramycin_interpretation_2,microbiology,,dropdown,TOBRAMYCIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ciprofloxacin_mic_2,microbiology,,text,CIPROFLOXACIN MIC 2,,,,,,,,,,,,,
ciprofloxacin_interpretation_raw_2,microbiology,,dropdown,CIPROFLOXACIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ciprofloxacin_interpretation_2,microbiology,,dropdown,CIPROFLOXACIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
levofloxacin_mic_2,microbiology,,text,LEVOFLOXACIN MIC 2,,,,,,,,,,,,,
levofloxacin_interpretation_raw_2,microbiology,,dropdown,LEVOFLOXACIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
levofloxacin_interpretation_2,microbiology,,dropdown,LEVOFLOXACIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
nitrofurantoin_mic_2,microbiology,,text,NITROFURANTOIN MIC 2,,,,,,,,,,,,,
nitrofurantoin_interpretation_raw_2,microbiology,,dropdown,NITROFURANTOIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
nitrofurantoin_interpretation_2,microbiology,,dropdown,NITROFURANTOIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
trimethoprim_sulfamethoxazole_mic_2,microbiology,,text,TRIMETHOPRIM SULFAMETHOXAZOLE MIC 2,,,,,,,,,,,,,
trimethoprim_sulfamethoxazole_interpretation_raw_2,microbiology,,dropdown,TRIMETHOPRIM SULFAMETHOXAZOLE INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
trimethoprim_sulfamethoxazole_interpretation_2,microbiology,,dropdown,TRIMETHOPRIM SULFAMETHOXAZOLE INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
cefoxitin_screen_mic_2,microbiology,,text,CEFOXITIN SCREEN MIC 2,,,,,,,,,,,,,
cefoxitin_screen_interpretation_raw_2,microbiology,,dropdown,CEFOXITIN SCREEN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
cefoxitin_screen_interpretation_2,microbiology,,dropdown,CEFOXITIN SCREEN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
clindamycin_mic_2,microbiology,,text,CLINDAMYCIN MIC 2,,,,,,,,,,,,,
clindamycin_interpretation_raw_2,microbiology,,dropdown,CLINDAMYCIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
clindamycin_interpretation_2,microbiology,,dropdown,CLINDAMYCIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
linezolid_mic_2,microbiology,,text,LINEZOLID MIC 2,,,,,,,,,,,,,
linezolid_interpretation_raw_2,microbiology,,dropdown,LINEZOLID INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
linezolid_interpretation_2,microbiology,,dropdown,LINEZOLID INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
oxacillin_mic_2,microbiology,,text,OXACILLIN MIC 2,,,,,,,,,,,,,
oxacillin_interpretation_raw_2,microbiology,,dropdown,OXACILLIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
oxacillin_interpretation_2,microbiology,,dropdown,OXACILLIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
daptomycin_mic_2,microbiology,,text,DAPTOMYCIN MIC 2,,,,,,,,,,,,,
daptomycin_interpretation_raw_2,microbiology,,dropdown,DAPTOMYCIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
daptomycin_interpretation_2,microbiology,,dropdown,DAPTOMYCIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
gentamicin_high_level_synergy_mic_2,microbiology,,text,GENTAMICIN HIGH LEVEL SYNERGY MIC 2,,,,,,,,,,,,,
gentamicin_high_level_synergy_interpretation_raw_2,microbiology,,dropdown,GENTAMICIN HIGH LEVEL SYNERGY INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
gentamicin_high_level_synergy_interpretation_2,microbiology,,dropdown,GENTAMICIN HIGH LEVEL SYNERGY INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
vancomycin_mic_2,microbiology,,text,VANCOMYCIN MIC 2,,,,,,,,,,,,,
vancomycin_interpretation_raw_2,microbiology,,dropdown,VANCOMYCIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
vancomycin_interpretation_2,microbiology,,dropdown,VANCOMYCIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
streptomycin_high_level_synergy_mic_2,microbiology,,text,STREPTOMYCIN HIGH LEVEL SYNERGY MIC 2,,,,,,,,,,,,,
streptomycin_high_level_synergy_interpretation_raw_2,microbiology,,dropdown,STREPTOMYCIN HIGH LEVEL SYNERGY INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
streptomycin_high_level_synergy_interpretation_2,microbiology,,dropdown,STREPTOMYCIN HIGH LEVEL SYNERGY INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
doxycycline_mic_2,microbiology,,text,DOXYCYCLINE MIC 2,,,,,,,,,,,,,
doxycycline_interpretation_raw_2,microbiology,,dropdown,DOXYCYCLINE INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
doxycycline_interpretation_2,microbiology,,dropdown,DOXYCYCLINE INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
tetracycline_mic_2,microbiology,,text,TETRACYCLINE MIC 2,,,,,,,,,,,,,
tetracycline_interpretation_raw_2,microbiology,,dropdown,TETRACYCLINE INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
tetracycline_interpretation_2,microbiology,,dropdown,TETRACYCLINE INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
tigecycline_mic_2,microbiology,,text,TIGECYCLINE MIC 2,,,,,,,,,,,,,
tigecycline_interpretation_raw_2,microbiology,,dropdown,TIGECYCLINE INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
tigecycline_interpretation_2,microbiology,,dropdown,TIGECYCLINE INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
moxifloxacin_mic_2,microbiology,,text,MOXIFLOXACIN MIC 2,,,,,,,,,,,,,
moxifloxacin_interpretation_raw_2,microbiology,,dropdown,MOXIFLOXACIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
moxifloxacin_interpretation_2,microbiology,,dropdown,MOXIFLOXACIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
rifampicin_mic_2,microbiology,,text,RIFAMPICIN MIC 2,,,,,,,,,,,,,
rifampicin_interpretation_raw_2,microbiology,,dropdown,RIFAMPICIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
rifampicin_interpretation_2,microbiology,,dropdown,RIFAMPICIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
inducible_clindamycin_resistance_mic_2,microbiology,,text,INDUCIBLE CLINDAMYCIN RESISTANCE MIC 2,,,,,,,,,,,,,
inducible_clindamycin_resistance_interpretation_raw_2,microbiology,,dropdown,INDUCIBLE CLINDAMYCIN RESISTANCE INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
inducible_clindamycin_resistance_interpretation_2,microbiology,,dropdown,INDUCIBLE CLINDAMYCIN RESISTANCE INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
erythromycin_mic_2,microbiology,,text,ERYTHROMYCIN MIC 2,,,,,,,,,,,,,
erythromycin_interpretation_raw_2,microbiology,,dropdown,ERYTHROMYCIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
erythromycin_interpretation_2,microbiology,,dropdown,ERYTHROMYCIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
fluconazole_mic_2,microbiology,,text,FLUCONAZOLE MIC 2,,,,,,,,,,,,,
fluconazole_interpretation_raw_2,microbiology,,dropdown,FLUCONAZOLE INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
fluconazole_interpretation_2,microbiology,,dropdown,FLUCONAZOLE INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
micafungin_mic_2,microbiology,,text,MICAFUNGIN MIC 2,,,,,,,,,,,,,
micafungin_interpretation_raw_2,microbiology,,dropdown,MICAFUNGIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
micafungin_interpretation_2,microbiology,,dropdown,MICAFUNGIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
voriconazole_mic_2,microbiology,,text,VORICONAZOLE MIC 2,,,,,,,,,,,,,
voriconazole_interpretation_raw_2,microbiology,,dropdown,VORICONAZOLE INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
voriconazole_interpretation_2,microbiology,,dropdown,VORICONAZOLE INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
amphotericin_b_mic_2,microbiology,,text,AMPHOTERICIN B MIC 2,,,,,,,,,,,,,
amphotericin_b_interpretation_raw_2,microbiology,,dropdown,AMPHOTERICIN B INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
amphotericin_b_interpretation_2,microbiology,,dropdown,AMPHOTERICIN B INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
caspofungin_mic_2,microbiology,,text,CASPOFUNGIN MIC 2,,,,,,,,,,,,,
caspofungin_interpretation_raw_2,microbiology,,dropdown,CASPOFUNGIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
caspofungin_interpretation_2,microbiology,,dropdown,CASPOFUNGIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
flucytosine_mic_2,microbiology,,text,FLUCYTOSINE MIC 2,,,,,,,,,,,,,
flucytosine_interpretation_raw_2,microbiology,,dropdown,FLUCYTOSINE INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
flucytosine_interpretation_2,microbiology,,dropdown,FLUCYTOSINE INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
isolate_3,microbiology,,text,Isolate_3,,,,,,,,,,,,,
bench_3,microbiology,,text,bench_3,,,,,,,,,,,,,
isolate_status_3,microbiology,,text,Isolate Status_3,,"e.g. Approved, To be reviewed",,,,,,,,,,,
selected_organism_3,microbiology,,text,Selected Organism_3,,,,,,,,,,,,,
mcfarland_3,microbiology,,text,McFarland_3,,Keep as text because of range,,,,,,,,,,,
id_card_3,microbiology,,text,Identification Card_3,,,,,,,,,,,,,
organism_origin_3,microbiology,,text,Organism Origin_3,,,,,,,,,,,,,
identified_organism_3,microbiology,,text,Identified Organism_3,,,,,,,,,,,,,
organism_probability_pct_3,microbiology,,text,Organism Probability (%)_3,,Numeric only,,,,,,,,,,,
id_confidence_3,microbiology,,text,ID Confidence_3,,,,,,,,,,,,,
lab_id_3,microbiology,,text,Lab ID 3,,,,,,,,,,,,,
esbl_mic_3,microbiology,,text,ESBL MIC 3,,,,,,,,,,,,,
esbl_interpretation_raw_3,microbiology,,dropdown,ESBL INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
esbl_interpretation_3,microbiology,,dropdown,ESBL INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ertapenem_mic_3,microbiology,,text,ERTAPENEM MIC 3,,,,,,,,,,,,,
ertapenem_interpretation_raw_3,microbiology,,dropdown,ERTAPENEM INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ertapenem_interpretation_3,microbiology,,dropdown,ERTAPENEM INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ampicillin_mic_3,microbiology,,text,AMPICILLIN MIC 3,,,,,,,,,,,,,
ampicillin_interpretation_raw_3,microbiology,,dropdown,AMPICILLIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ampicillin_interpretation_3,microbiology,,dropdown,AMPICILLIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ampicillin_sulbactam_mic_3,microbiology,,text,AMPICILLIN SULBACTAM MIC 3,,,,,,,,,,,,,
ampicillin_sulbactam_interpretation_raw_3,microbiology,,dropdown,AMPICILLIN SULBACTAM INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ampicillin_sulbactam_interpretation_3,microbiology,,dropdown,AMPICILLIN SULBACTAM INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
piperacillin_mic_3,microbiology,,text,PIPERACILLIN MIC 3,,,,,,,,,,,,,
piperacillin_interpretation_raw_3,microbiology,,dropdown,PIPERACILLIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
piperacillin_interpretation_3,microbiology,,dropdown,PIPERACILLIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
cefazolin_mic_3,microbiology,,text,CEFAZOLIN MIC 3,,,,,,,,,,,,,
cefazolin_interpretation_raw_3,microbiology,,dropdown,CEFAZOLIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
cefazolin_interpretation_3,microbiology,,dropdown,CEFAZOLIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
cefoxitin_mic_3,microbiology,,text,CEFOXITIN MIC 3,,,,,,,,,,,,,
cefoxitin_interpretation_raw_3,microbiology,,dropdown,CEFOXITIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
cefoxitin_interpretation_3,microbiology,,dropdown,CEFOXITIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ceftazidime_mic_3,microbiology,,text,CEFTAZIDIME MIC 3,,,,,,,,,,,,,
ceftazidime_interpretation_raw_3,microbiology,,dropdown,CEFTAZIDIME INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ceftazidime_interpretation_3,microbiology,,dropdown,CEFTAZIDIME INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ceftriaxone_mic_3,microbiology,,text,CEFTRIAXONE MIC 3,,,,,,,,,,,,,
ceftriaxone_interpretation_raw_3,microbiology,,dropdown,CEFTRIAXONE INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ceftriaxone_interpretation_3,microbiology,,dropdown,CEFTRIAXONE INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
cefepime_mic_3,microbiology,,text,CEFEPIME MIC 3,,,,,,,,,,,,,
cefepime_interpretation_raw_3,microbiology,,dropdown,CEFEPIME INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
cefepime_interpretation_3,microbiology,,dropdown,CEFEPIME INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
meropenem_mic_3,microbiology,,text,MEROPENEM MIC 3,,,,,,,,,,,,,
meropenem_interpretation_raw_3,microbiology,,dropdown,MEROPENEM INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
meropenem_interpretation_3,microbiology,,dropdown,MEROPENEM INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
amikacin_mic_3,microbiology,,text,AMIKACIN MIC 3,,,,,,,,,,,,,
amikacin_interpretation_raw_3,microbiology,,dropdown,AMIKACIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
amikacin_interpretation_3,microbiology,,dropdown,AMIKACIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
gentamicin_mic_3,microbiology,,text,GENTAMICIN MIC 3,,,,,,,,,,,,,
gentamicin_interpretation_raw_3,microbiology,,dropdown,GENTAMICIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
gentamicin_interpretation_3,microbiology,,dropdown,GENTAMICIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
tobramycin_mic_3,microbiology,,text,TOBRAMYCIN MIC 3,,,,,,,,,,,,,
tobramycin_interpretation_raw_3,microbiology,,dropdown,TOBRAMYCIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
tobramycin_interpretation_3,microbiology,,dropdown,TOBRAMYCIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ciprofloxacin_mic_3,microbiology,,text,CIPROFLOXACIN MIC 3,,,,,,,,,,,,,
ciprofloxacin_interpretation_raw_3,microbiology,,dropdown,CIPROFLOXACIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ciprofloxacin_interpretation_3,microbiology,,dropdown,CIPROFLOXACIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
levofloxacin_mic_3,microbiology,,text,LEVOFLOXACIN MIC 3,,,,,,,,,,,,,
levofloxacin_interpretation_raw_3,microbiology,,dropdown,LEVOFLOXACIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
levofloxacin_interpretation_3,microbiology,,dropdown,LEVOFLOXACIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
nitrofurantoin_mic_3,microbiology,,text,NITROFURANTOIN MIC 3,,,,,,,,,,,,,
nitrofurantoin_interpretation_raw_3,microbiology,,dropdown,NITROFURANTOIN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
nitrofurantoin_interpretation_3,microbiology,,dropdown,NITROFURANTOIN INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
trimethoprim_sulfamethoxazole_mic_3,microbiology,,text,TRIMETHOPRIM SULFAMETHOXAZOLE MIC 3,,,,,,,,,,,,,
trimethoprim_sulfamethoxazole_interpretation_raw_3,microbiology,,dropdown,TRIMETHOPRIM SULFAMETHOXAZOLE INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
trimethoprim_sulfamethoxazole_interpretation_3,microbiology,,dropdown,TRIMETHOPRIM SULFAMETHOXAZOLE INTERPRETATION 3,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
cefoxitin_screen_mic_3,microbiology,,text,CEFOXITIN SCREEN MIC 3,,,,,,,,,,,,,
cefoxitin_screen_interpretation_raw_3,microbiology,,dropdown,CEFOXITIN SCREEN INTERPRETATION RAW 3,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
